week_start,search_index,is_anomaly_week,prophet_forecast,prophet_lower,prophet_upper,prophet_error
2025-10-26,24.77,0,18.978931968178657,16.41251789059658,21.646291879015013,5.791068031821343
2025-11-02,25.33,0,19.88113703341764,17.29960421582071,22.503392089135964,5.448862966582357
2025-11-09,24.72,0,20.659303027525,18.040842889822674,23.355331559474603,4.060696972475
2025-11-16,30.07,0,20.28692529748274,17.814417707284797,22.82007082925115,9.783074702517261
2025-11-23,29.21,0,18.863216802946432,16.320595891693625,21.498096582193927,10.346783197053568
2025-11-30,26.48,0,17.047657140172426,14.195056057765596,19.566328075954104,9.432342859827575
2025-12-07,23.16,0,15.957312200182162,13.53651530567051,18.61670695367606,7.202687799817838
2025-12-14,24.51,0,15.443029198586672,12.968089263780938,18.007799197131174,9.06697080141333
2025-12-21,21.85,0,15.87354160131123,13.178659269731671,18.631120522340538,5.976458398688772
2025-12-28,21.19,0,16.75773026995087,14.047061574023882,19.26019938466152,4.432269730049132
2026-01-04,19.83,0,17.28513619892866,14.503083119392707,19.709118081828436,2.5448638010713367
2026-01-11,20.54,0,17.45868527228824,14.95183447094246,19.946977982401783,3.08131472771176
2026-01-18,21.79,0,17.591299030641025,15.065309295323587,20.34617707052811,4.198700969358974
2026-01-25,22.45,0,18.406331018404885,15.889977820179302,21.07250828008475,4.043668981595115
2026-02-01,19.77,0,19.854508434749786,17.213874271487892,22.43584449373556,-0.08450843474978598
2026-02-08,24.36,0,21.462161940356108,18.890897099964157,24.047822392969678,2.8978380596438917
2026-02-15,31.77,0,21.985730648630884,19.387443180513397,24.429695980983336,9.784269351369115
2026-02-22,26.53,0,21.235305634322895,18.418478346507133,23.903508733908236,5.294694365677106
2026-03-01,27.3,0,20.876071364379268,18.417767198624137,23.55650812595372,6.423928635620733
2026-03-08,25.12,0,20.71646293534071,18.241506868504548,23.42645258563497,4.4035370646592895
2026-03-15,25.78,0,21.638765634208447,19.206158337845533,24.138501871534775,4.141234365791554
2026-03-22,27.79,0,22.743162933371526,20.23895934907944,25.286237655630686,5.046837066628473
2026-03-29,25.78,0,23.129012527006466,20.621478158963445,25.762919890302232,2.6509874729935348
2026-04-05,29.75,0,23.942960004006686,21.407846071852806,26.579191676566197,5.807039995993314
2026-04-12,23.86,0,23.90290463402682,21.284288053541463,26.529238608398558,-0.04290463402682221
2026-04-19,22.66,1,24.458382122236067,22.02059583444904,27.107921463831044,-1.7983821222360667
