week_start,brand,region,search_index,sov_pct,search_wow_pct,search_mom_pct,search_yoy_pct,season_label,season_week_num
2023-02-26,adidas,global,31.0,37.3494,0.0,0.0,,FW22,25
2023-02-26,adidas,korea,37.0,23.4177,-2.6316,8.8235,,FW22,25
2023-02-26,puma,global,7.0,8.4337,0.0,0.0,,FW22,25
2023-02-26,puma,korea,7.0,4.4304,-12.5,-22.2222,,FW22,25
2023-02-26,new_balance,global,6.0,7.2289,0.0,20.0,,FW22,25
2023-02-26,new_balance,korea,21.0,13.2911,0.0,10.5263,,FW22,25
2023-03-05,nike,global,32.0,41.5584,-17.9487,-20.0,,FW22,26
2023-03-05,nike,korea,105.0,62.1302,12.9032,8.2474,,FW22,26
2023-03-05,adidas,global,33.0,42.8571,6.4516,17.8571,,FW22,26
2023-03-05,adidas,korea,37.0,21.8935,0.0,19.3548,,FW22,26
2023-03-05,puma,global,7.0,9.0909,0.0,16.6667,,FW22,26
2023-03-05,puma,korea,8.0,4.7337,14.2857,14.2857,,FW22,26
2023-03-05,new_balance,global,5.0,6.4935,-16.6667,0.0,,FW22,26
2023-03-05,new_balance,korea,19.0,11.2426,-9.5238,11.7647,,FW22,26
2023-03-12,nike,global,27.0,39.1304,-15.625,-30.7692,,SS23,1
2023-03-12,nike,korea,81.0,56.25,-22.8571,-18.1818,,SS23,1
2023-03-12,adidas,global,31.0,44.9275,-6.0606,3.3333,,SS23,1
2023-03-12,adidas,korea,38.0,26.3889,2.7027,11.7647,,SS23,1
2023-03-12,puma,global,6.0,8.6957,-14.2857,-14.2857,,SS23,1
2023-03-12,puma,korea,8.0,5.5556,0.0,0.0,,SS23,1
2023-03-12,new_balance,global,5.0,7.2464,0.0,0.0,,SS23,1
2023-03-12,new_balance,korea,17.0,11.8056,-10.5263,-37.037,,SS23,1
2023-03-19,nike,global,28.0,38.3562,3.7037,-28.2051,,SS23,2
2023-03-19,nike,korea,93.0,60.0,14.8148,-2.1053,,SS23,2
2023-03-19,adidas,global,34.0,46.5753,9.6774,9.6774,,SS23,2
2023-03-19,adidas,korea,38.0,24.5161,0.0,0.0,,SS23,2
2023-03-19,puma,global,6.0,8.2192,0.0,-14.2857,,SS23,2
2023-03-19,puma,korea,7.0,4.5161,-12.5,-12.5,,SS23,2
2023-03-19,new_balance,global,5.0,6.8493,0.0,-16.6667,,SS23,2
2023-03-19,new_balance,korea,17.0,10.9677,0.0,-19.0476,,SS23,2
2023-03-26,nike,global,27.0,38.0282,-3.5714,-30.7692,,SS23,3
2023-03-26,nike,korea,96.0,59.6273,3.2258,3.2258,,SS23,3
2023-03-26,adidas,global,33.0,46.4789,-2.9412,6.4516,,SS23,3
2023-03-26,adidas,korea,39.0,24.2236,2.6316,5.4054,,SS23,3
2023-03-26,puma,global,6.0,8.4507,0.0,-14.2857,,SS23,3
2023-03-26,puma,korea,8.0,4.9689,14.2857,14.2857,,SS23,3
2023-03-26,new_balance,global,5.0,7.0423,0.0,-16.6667,,SS23,3
2023-03-26,new_balance,korea,18.0,11.1801,5.8824,-14.2857,,SS23,3
2023-04-02,nike,global,30.0,38.4615,11.1111,-6.25,,SS23,4
2023-04-02,nike,korea,89.0,57.4194,-7.2917,-15.2381,,SS23,4
2023-04-02,adidas,global,35.0,44.8718,6.0606,6.0606,,SS23,4
2023-04-02,adidas,korea,37.0,23.871,-5.1282,0.0,,SS23,4
2023-04-02,puma,global,7.0,8.9744,16.6667,0.0,,SS23,4
2023-04-02,puma,korea,10.0,6.4516,25.0,25.0,,SS23,4
2023-04-02,new_balance,global,6.0,7.6923,20.0,20.0,,SS23,4
2023-04-02,new_balance,korea,19.0,12.2581,5.5556,0.0,,SS23,4
2023-04-09,nike,global,31.0,39.2405,3.3333,14.8148,,SS23,5
2023-04-09,nike,korea,95.0,61.2903,6.7416,17.284,,SS23,5
2023-04-09,adidas,global,36.0,45.5696,2.8571,16.129,,SS23,5
2023-04-09,adidas,korea,33.0,21.2903,-10.8108,-13.1579,,SS23,5
2023-04-09,puma,global,6.0,7.5949,-14.2857,0.0,,SS23,5
2023-04-09,puma,korea,8.0,5.1613,-20.0,0.0,,SS23,5
2023-04-09,new_balance,global,6.0,7.5949,0.0,20.0,,SS23,5
2023-04-09,new_balance,korea,19.0,12.2581,0.0,11.7647,,SS23,5
2023-04-16,nike,global,30.0,39.4737,-3.2258,7.1429,,SS23,6
2023-04-16,nike,korea,95.0,62.0915,0.0,2.1505,,SS23,6
2023-04-16,adidas,global,35.0,46.0526,-2.7778,2.9412,,SS23,6
2023-04-16,adidas,korea,34.0,22.2222,3.0303,-10.5263,,SS23,6
2023-04-16,puma,global,6.0,7.8947,0.0,0.0,,SS23,6
2023-04-16,puma,korea,7.0,4.5752,-12.5,0.0,,SS23,6
2023-04-16,new_balance,global,5.0,6.5789,-16.6667,0.0,,SS23,6
2023-04-16,new_balance,korea,17.0,11.1111,-10.5263,0.0,,SS23,6
2023-04-23,nike,global,29.0,38.6667,-3.3333,7.4074,,SS23,7
2023-04-23,nike,korea,96.0,60.7595,1.0526,0.0,,SS23,7
2023-04-23,adidas,global,35.0,46.6667,0.0,6.0606,,SS23,7
2023-04-23,adidas,korea,35.0,22.1519,2.9412,-10.2564,,SS23,7
2023-04-23,puma,global,6.0,8.0,0.0,0.0,,SS23,7
2023-04-23,puma,korea,9.0,5.6962,28.5714,12.5,,SS23,7
2023-04-23,new_balance,global,5.0,6.6667,0.0,0.0,,SS23,7
2023-04-23,new_balance,korea,18.0,11.3924,5.8824,0.0,,SS23,7
2023-04-30,nike,global,28.0,36.8421,-3.4483,-6.6667,,SS23,8
2023-04-30,nike,korea,99.0,59.6386,3.125,11.236,,SS23,8
2023-04-30,adidas,global,37.0,48.6842,5.7143,5.7143,,SS23,8
2023-04-30,adidas,korea,41.0,24.6988,17.1429,10.8108,,SS23,8
2023-04-30,puma,global,6.0,7.8947,0.0,-14.2857,,SS23,8
2023-04-30,puma,korea,8.0,4.8193,-11.1111,-20.0,,SS23,8
2023-04-30,new_balance,global,5.0,6.5789,0.0,-16.6667,,SS23,8
