brand,is_core,primary_label,primary_type,primary_mid,primary_avg,primary_2023h1_avg,fallback_label,fallback_type,fallback_mid,resolved_at,notes
nike,1,,,,,,,,,2026-04-28,
adidas,1,,,,,,,,,2026-04-28,
puma,1,,,,,,,,,2026-04-28,
new_balance,1,,,,,,,,,2026-04-28,
lululemon,0,,,,,,,,,2026-04-28,
asics,0,,,,,,,,,2026-04-28,
