lag,n_folds,mean_rmse,median_rmse,std_rmse,se_rmse,fold_rmses
6,8,4.380940487893502,3.7605149412357606,2.3540446318515285,0.8322804611990027,"[9.008415156994019, 2.215344186011257, 6.805540448493972, 3.8927440051287845, 3.7527459888272823, 2.1636046991512563, 3.440845524897213, 3.768283893644239]"
7,8,4.547000230435117,3.75234742985956,2.6685245937885895,0.9434659180154943,"[9.845049064774619, 2.0501972601805694, 7.204538738870107, 4.14366245461112, 3.707501740745911, 2.091229716765815, 3.536629748559583, 3.797193118973208]"
8,8,4.829038721270883,3.7829429127232066,3.250694709715361,1.1492941364034837,"[11.728849832254937, 1.9713089015627943, 7.382623546609058, 4.358303108864056, 3.7344288131775913, 2.0617097179306234, 3.563628837499177, 3.8314570122688214]"
9,8,5.071565705598253,3.802301917709652,3.813643244611669,1.3483264996455893,"[13.398925890892706, 1.9318010856345502, 7.632840985158006, 4.615356655921314, 3.771163948189946, 1.8848937724874233, 3.5041034192727216, 3.833439887229358]"
10,8,5.343865013307464,3.7058535295315234,4.419731255403802,1.5626109708590805,"[15.209330266236602, 2.054864166675606, 7.966525852619961, 4.847269259542583, 3.5562378741947485, 1.8139531065516434, 3.4472703957702677, 3.8554691848682983]"
11,8,5.6791425461931215,3.6600829103478945,5.282298336789511,1.8675744870971422,"[17.743167682198553, 1.9083836463809805, 8.17169841202043, 5.12409950235716, 3.4953642765683726, 1.6702610293236821, 3.5096249908173993, 3.8105408298783896]"
12,8,5.953852538004198,3.6524533809710387,6.058889288152995,2.1421408510557582,"[19.89965082272727, 1.648846963274169, 8.51736406651822, 5.3832753204679396, 3.537261086833617, 1.5112772424316332, 3.365499126672267, 3.76764567510846]"
13,8,6.234040085244565,3.5806666114911243,6.83799225442776,2.4175953464034783,"[22.076363959349464, 1.3910588187264437, 8.839220455621556, 5.667200813204279, 3.441455654937531, 1.4300171912931208, 3.307126220779405, 3.7198775680447183]"
14,8,6.684990621553945,3.6329476277792274,7.940078725201926,2.8072417548726594,"[25.262629568482268, 1.1930765788103253, 9.275026852658648, 5.864629079834767, 3.6345068074379148, 1.3819183089938527, 3.236749328093249, 3.6313884481205396]"
