model,rmse,mae,mape
prophet_baseline,2.529787947938629,2.1080890625726454,10.61013416095337
prophet_csi,2.5369174605798706,2.1122919703461256,10.635970984729331
prophet_csi_korea_lag6,4.041396772636845,3.214467794506059,14.448364942426206
sarimax_baseline,3.2453079853761397,2.586102788912733,11.64842792446144
sarimax_csi,3.1962700299721765,2.635941205249464,12.198632350555258
sarimax_csi_korea_lag6,4.506948484986406,3.43048923120804,15.45992842518521
