season,n_weeks,n_test,mean_rmse_baseline,mean_rmse_treatment,delta_pct,verdict
FW,82,16,2.2022537026032696,2.2824628329401615,-3.6421385166512485,ok
SS,81,16,4.211171629889689,4.286151752581859,-1.7805050300012195,ok
