week_start,search_index,is_anomaly_week,sarimax_forecast,sarimax_lower,sarimax_upper,sarimax_error
2025-10-26,24.77,0,18.513172075629864,14.601828081948641,22.424516069311085,6.2568279243701355
2025-11-02,25.33,0,19.446344755240727,15.243659585385021,23.649029925096432,5.883655244759272
2025-11-09,24.72,0,19.527099683112148,15.052000417515462,24.002198948708834,5.192900316887851
2025-11-16,30.07,0,19.18777131537925,14.4559149949736,23.919627635784902,10.882228684620749
2025-11-23,29.21,0,18.624700502305625,13.649319608647149,23.600081395964104,10.585299497694376
2025-11-30,26.48,0,18.162687252974493,12.955157527951242,23.370216977997742,8.317312747025507
2025-12-07,23.16,0,17.511541579345728,12.081779463283953,22.941303695407505,5.648458420654272
2025-12-14,24.51,0,17.563317518746715,11.920067795667062,23.206567241826367,6.946682481253287
2025-12-21,21.85,0,17.58728871222656,11.738338529753001,23.436238894700118,4.262711287773442
2025-12-28,21.19,0,17.411762801814785,11.364104656956034,23.459420946673536,3.7782371981852165
2026-01-04,19.83,0,17.309937315425152,11.06989566195077,23.549978968899534,2.520062684574846
2026-01-11,20.54,0,17.17573976033087,10.749071055853083,23.602408464808658,3.364260239669129
2026-01-18,21.79,0,17.4498592606665,10.84183221493393,24.05788630639907,4.340140739333499
2026-01-25,22.45,0,18.127163556983408,11.34262435102756,24.911702762939257,4.322836443016591
2026-02-01,19.77,0,19.190667627390198,12.234093539725283,26.147241715055113,0.5793323726098016
2026-02-08,24.36,0,19.813368725183935,12.68891268719831,26.93782476316956,4.546631274816065
2026-02-15,31.77,0,20.120118867236854,12.831646830025711,27.408590904447998,11.649881132763145
2026-02-22,26.53,0,20.262937475675294,12.814060014122603,27.711814937227985,6.267062524324707
2026-03-01,27.3,0,19.529893317252345,11.923992566043019,27.13579406846167,7.770106682747656
2026-03-08,25.12,0,20.037550505471593,12.277803277805894,27.79729773313729,5.082449494528408
2026-03-15,25.78,0,20.67215709683596,12.761554854447306,28.582759339224616,5.107842903164041
2026-03-22,27.79,0,21.140331594052917,13.08169779933912,29.198965388766716,6.649668405947082
2026-03-29,25.78,0,21.230769999185192,13.026775274825468,29.434764723544916,4.549230000814809
2026-04-05,29.75,0,19.483074803937775,11.136250243822648,27.829899364052903,10.266925196062225
2026-04-12,23.86,0,19.179442473526073,10.692191385137088,27.66669356191506,4.680557526473926
2026-04-19,22.66,1,19.051179546444473,10.425787854620912,27.676571238268032,3.608820453555527
