week_start,search_index,is_anomaly_week,lstm_forecast,lstm_error
2025-10-26,24.77,0,17.071437693834305,7.6985623061656945
2025-11-02,25.33,0,16.888376284837722,8.441623715162276
2025-11-09,24.72,0,16.70412587404251,8.015874125957488
2025-11-16,30.07,0,16.536412601470946,13.533587398529054
2025-11-23,29.21,0,16.372266334295272,12.837733665704729
2025-11-30,26.48,0,16.198664411306382,10.281335588693619
2025-12-07,23.16,0,16.03337346315384,7.12662653684616
2025-12-14,24.51,0,15.929842759370803,8.580157240629198
2025-12-21,21.85,0,15.94836120247841,5.901638797521592
2025-12-28,21.19,0,16.092899062633514,5.097100937366488
2026-01-04,19.83,0,16.312975471019744,3.5170245289802544
2026-01-11,20.54,0,16.531795575618744,4.008204424381255
2026-01-18,21.79,0,16.706610028743743,5.083389971256256
2026-01-25,22.45,0,16.847155184745787,5.602844815254212
2026-02-01,19.77,0,17.00073558688164,2.7692644131183606
2026-02-08,24.36,0,17.209164373874664,7.150835626125335
2026-02-15,31.77,0,17.47372739672661,14.29627260327339
2026-02-22,26.53,0,17.762254852056504,8.767745147943497
2026-03-01,27.3,0,18.037375532388687,9.262624467611314
2026-03-08,25.12,0,18.289336668252943,6.830663331747058
2026-03-15,25.78,0,18.541061426401136,7.238938573598865
2026-03-22,27.79,0,18.8138971221447,8.9761028778553
2026-03-29,25.78,0,19.09167486310005,6.688325136899952
2026-04-05,29.75,0,19.31161995053291,10.438380049467089
2026-04-12,23.86,0,19.40005257487297,4.45994742512703
2026-04-19,22.66,1,19.316543391942975,3.343456608057025
