week_start,search_index,is_anomaly_week,sarimax_forecast,sarimax_lower,sarimax_upper,sarimax_error
2025-10-26,18.74,0,19.471911722316086,16.69234460588938,22.25147883874279,-0.731911722316088
2025-11-02,20.42,0,20.111131919070676,16.180230405493756,24.042033432647596,0.30886808092932583
2025-11-09,20.42,0,20.35151197513968,15.537160506440912,25.165863443838447,0.06848802486032213
2025-11-16,22.28,0,20.44390557124299,14.884771338389584,26.003039804096396,1.8360944287570113
2025-11-23,26.92,0,20.19826908965871,13.982968069305528,26.41357011001189,6.721730910341293
2025-11-30,23.2,0,19.69713002060148,12.888608879536854,26.50565116166611,3.5028699793985183
2025-12-07,19.49,0,18.72530732026859,11.371263977790615,26.079350662746567,0.7646926797314073
2025-12-14,21.35,0,18.56004772967524,10.6982447025214,26.42185075682908,2.7899522703247612
2025-12-21,21.35,0,18.718823476114512,10.3801221268344,27.057524825394623,2.6311765238854896
2025-12-28,19.49,0,18.984199682091283,10.194436684876479,27.773962679306088,0.5058003179087152
2026-01-04,18.56,0,19.301442132408376,10.082660927610897,28.520223337205856,-0.7414421324083769
2026-01-11,17.64,0,19.19655862563748,9.567855688239945,28.825261563035014,-1.5565586256374786
2026-01-18,17.64,0,19.049868517199204,9.027996755329141,29.071740279069267,-1.4098685171992038
2026-01-25,17.64,0,19.119169861797843,8.718982028585925,29.51935769500976,-1.4791698617978426
2026-02-01,17.64,0,19.76323676595867,8.998019614372277,30.528453917545065,-2.1232367659586693
2026-02-08,17.64,0,20.27971491052754,9.16144644482073,31.397983376234354,-2.639714910527541
2026-02-15,19.49,0,20.61253353071214,9.15208471619134,32.07298234523294,-1.1225335307121398
2026-02-22,21.35,0,20.551312300559477,8.758607759828719,32.344016841290234,0.7986876994405243
2026-03-01,23.2,0,19.127682099265634,7.011829931972882,31.243534266558385,4.072317900734365
2026-03-08,23.2,0,18.690947720394878,6.260345679688516,31.12154976110124,4.509052279605122
2026-03-15,23.2,0,18.463897204227944,5.726320493992445,31.201473914463442,4.736102795772055
2026-03-22,23.2,0,18.471330763155134,5.434005354780359,31.508656171529907,4.7286692368448655
2026-03-29,23.2,0,18.502166420305468,5.171830822182848,31.832502018428087,4.697833579694532
2026-04-05,22.28,0,16.728858690057983,3.1118164079287336,30.34590097218723,5.551141309942018
2026-04-12,20.42,0,16.26452092668068,2.3666853445471663,30.1623565088142,4.15547907331932
2026-04-19,20.42,1,15.725855663619846,1.5527886976192598,29.898922629620433,4.694144336380155
