label,rmse,mae,mape_pct
korea_small_anomaly,1.8499757385253908,1.8499757385253908,8.164058863748416
korea_small_normal,7.332198605740102,6.635578726196289,25.656432860342427
korea_small_all,7.198960448681142,6.4515170728243305,24.98364924508881
korea_base_anomaly,3.9747239685058595,3.9747239685058595,17.540705951040863
korea_base_normal,7.910066633073202,7.2130097564697255,27.77196837389261
korea_base_all,7.795529498267348,7.0884603030865,27.378458280706003
global_small_anomaly,3.517948074340822,3.517948074340822,17.22795335132626
global_small_normal,3.6570497967411155,2.9206192962646487,13.255963920948616
global_small_all,3.651797708241497,2.9435934800368093,13.40873274519391
global_base_anomaly,3.517948074340822,3.517948074340822,17.22795335132626
global_base_normal,4.003110317694032,3.1350032073974607,13.953281043463756
global_base_all,3.98554244954121,3.149731856126052,14.079229978381544
