epoch,train_loss,val_loss
1,0.24064895510673523,0.2795511484146118
2,0.2178579717874527,0.25457480549812317
3,0.1955575793981552,0.23081335425376892
4,0.17503708600997925,0.2078842669725418
5,0.1554557979106903,0.18545466661453247
6,0.1367810219526291,0.16326743364334106
7,0.11841803789138794,0.14117549359798431
8,0.10054207593202591,0.11917326599359512
9,0.08324100077152252,0.0974908173084259
10,0.06625021249055862,0.07670469582080841
11,0.05133628100156784,0.05798119679093361
12,0.03838810324668884,0.04339040443301201
13,0.030904943123459816,0.03596958890557289
14,0.028614824637770653,0.037435807287693024
15,0.0356547050178051,0.04231169447302818
16,0.044581759721040726,0.04353593662381172
17,0.04582706466317177,0.04084311053156853
18,0.04231414571404457,0.037064697593450546
19,0.03781772032380104,0.034461718052625656
20,0.03132673352956772,0.03392109274864197
21,0.028859522193670273,0.03521033376455307
22,0.027114102616906166,0.037622690200805664
23,0.02780110016465187,0.04045912250876427
24,0.027034832164645195,0.043149787932634354
25,0.029254082590341568,0.045338574796915054
26,0.02933979593217373,0.046823546290397644
27,0.030162205919623375,0.04753332957625389
28,0.029916957020759583,0.04751366004347801
29,0.0304516963660717,0.04685002192854881
30,0.029040087014436722,0.04562962055206299
31,0.02918073907494545,0.043981269001960754
32,0.029155438765883446,0.042072050273418427
33,0.02709256112575531,0.040069784969091415
34,0.026297712698578835,0.03812851756811142
35,0.025202898308634758,0.03635793924331665
36,0.024916986003518105,0.03484823927283287
37,0.025100912898778915,0.03364389017224312
38,0.024736642837524414,0.032742224633693695
39,0.024982722476124763,0.03210589289665222
40,0.025217337533831596,0.03170384094119072
41,0.025318754836916924,0.031491003930568695
42,0.025525543838739395,0.031454283744096756
43,0.024333970621228218,0.03159257397055626
44,0.02406173013150692,0.03193984925746918
45,0.022614257410168648,0.03246476873755455
46,0.022786075249314308,0.03317408263683319
47,0.02309056930243969,0.03405106067657471
48,0.022151364013552666,0.034968599677085876
49,0.02179618924856186,0.03585619479417801
50,0.022031892091035843,0.03658594191074371
51,0.020973745733499527,0.03710705414414406
52,0.02155386097729206,0.03735131397843361
53,0.020496193319559097,0.03726677969098091
54,0.02117333374917507,0.03681320324540138
55,0.020950263366103172,0.03609852492809296
56,0.02039526216685772,0.035141441971063614
57,0.01963009499013424,0.034057728946208954
58,0.019195329397916794,0.0329466313123703
59,0.017804943025112152,0.03193006291985512
60,0.018174953758716583,0.03101101517677307
61,0.017368126660585403,0.030429702252149582
62,0.01844758726656437,0.03027409501373768
63,0.018268365412950516,0.030763184651732445
64,0.017194462940096855,0.03185834363102913
65,0.016447672620415688,0.03337255120277405
66,0.015589524991810322,0.035143520683050156
67,0.015587734058499336,0.036775581538677216
68,0.01542072556912899,0.03799419850111008
69,0.015317019075155258,0.03839917480945587
70,0.015770815312862396,0.03804556652903557
71,0.01483510248363018,0.036907315254211426
72,0.014895763248205185,0.0356990247964859
73,0.015102383680641651,0.03560227155685425
74,0.014643826521933079,0.03628929331898689
75,0.014653317630290985,0.03749377653002739
76,0.013920353725552559,0.03899663686752319
77,0.01462071668356657,0.040561649948358536
78,0.014323007315397263,0.04133617877960205
79,0.014050240628421307,0.04084118828177452
80,0.014203090220689774,0.039647042751312256
81,0.014957164414227009,0.038002584129571915
82,0.01334195863455534,0.03684934973716736
83,0.014255762100219727,0.03655996546149254
84,0.013493859209120274,0.03705758601427078
85,0.013116931542754173,0.03795751929283142
86,0.012864550575613976,0.0390959233045578
87,0.012878797017037868,0.03926796838641167
88,0.013410904444754124,0.03911299258470535
89,0.013214963488280773,0.03854097053408623
90,0.013974588364362717,0.03809954226016998
91,0.013801726512610912,0.038003209978342056
92,0.013133130967617035,0.03794138878583908
