epoch,train_loss,val_loss
1,0.4002749025821686,0.5290799736976624
2,0.3616816997528076,0.48100176453590393
3,0.3261837959289551,0.43358537554740906
4,0.29025059938430786,0.3856872618198395
5,0.25575461983680725,0.3364773094654083
6,0.22010134160518646,0.2854900360107422
7,0.18405993282794952,0.23262210190296173
8,0.15142323076725006,0.178297221660614
9,0.11457682400941849,0.12388446927070618
10,0.08246011286973953,0.07247228920459747
11,0.055996123701334,0.03013945184648037
12,0.04283679276704788,0.006438625045120716
13,0.04910436272621155,0.005215768702328205
14,0.06821290403604507,0.009638273157179356
15,0.08157128095626831,0.00853577721863985
16,0.07755553722381592,0.004852313082665205
17,0.06479515880346298,0.0039425198920071125
18,0.05225515738129616,0.008040082640945911
19,0.043564196676015854,0.016395948827266693
20,0.040699128061532974,0.026771165430545807
21,0.042498599737882614,0.03713927045464516
22,0.04270727187395096,0.046035051345825195
23,0.045895062386989594,0.052675601094961166
24,0.04586315155029297,0.05664203315973282
25,0.04927768185734749,0.057960547506809235
26,0.049093227833509445,0.056840453296899796
27,0.04963333532214165,0.053592562675476074
28,0.0468495637178421,0.04872344434261322
29,0.04502877593040466,0.042733367532491684
30,0.04176706075668335,0.036071501672267914
31,0.039194174110889435,0.029281334951519966
32,0.03978223726153374,0.022931015118956566
33,0.03911259025335312,0.01754547655582428
34,0.03668404370546341,0.013287114910781384
35,0.03696269169449806,0.010275832377374172
36,0.036831557750701904,0.008377987891435623
37,0.038733016699552536,0.007462746929377317
38,0.03825861215591431,0.00727775739505887
39,0.03874865919351578,0.007760730106383562
40,0.03814995661377907,0.008853349834680557
41,0.037342432886362076,0.010557616129517555
42,0.03520641475915909,0.01269835140556097
43,0.03624117746949196,0.015163269825279713
44,0.03325679153203964,0.017680367454886436
45,0.03263603523373604,0.01997067965567112
46,0.03322075679898262,0.021660372614860535
47,0.03458302468061447,0.022565891966223717
