week_start,search_index,is_anomaly_week,prophet_forecast,prophet_lower,prophet_upper,prophet_error
2025-10-26,18.74,0,19.248697729590955,17.10047510798226,21.3789254400485,-0.5086977295909563
2025-11-02,20.42,0,20.229416029808846,18.108077974305065,22.382395630082232,0.19058397019115603
2025-11-09,20.42,0,22.328844551990656,20.195019338341375,24.383127538945676,-1.9088445519906543
2025-11-16,22.28,0,24.32560178303276,22.343220853186924,26.301191164824168,-2.045601783032758
2025-11-23,26.92,0,24.95349736527101,23.021232663401292,27.10354043508886,1.9665026347289931
2025-11-30,23.2,0,24.094267209725185,22.026335346474728,26.205172644295175,-0.8942672097251858
2025-12-07,19.49,0,22.75196359394766,20.604968760780487,24.66750820372233,-3.2619635939476623
2025-12-14,21.35,0,22.168500438740665,20.177544328975618,24.108974691051596,-0.8185004387406636
2025-12-21,21.35,0,22.428106338758337,20.525259463452684,24.654319072836582,-1.0781063387583352
2025-12-28,19.49,0,22.730921763061538,20.77319045126744,24.769065383629385,-3.2409217630615395
2026-01-04,18.56,0,22.376705378845784,20.22547706890257,24.663459826123074,-3.8167053788457856
2026-01-11,17.64,0,21.473038367703676,19.455933634892226,23.608490137623097,-3.8330383677036757
2026-01-18,17.64,0,20.800624542110896,18.713147782407376,22.89896548624361,-3.160624542110895
2026-01-25,17.64,0,20.811152237474694,18.816909632857303,22.948151102223893,-3.1711522374746934
2026-02-01,17.64,0,21.218428373013964,19.12911210518854,23.22973732862153,-3.5784283730139634
2026-02-08,17.64,0,21.36784474157256,19.26068229029639,23.401122459156195,-3.727844741572561
2026-02-15,19.49,0,21.180603507409707,19.152235971661867,23.171954824547363,-1.6906035074097083
2026-02-22,21.35,0,21.15641044432582,19.109385407741197,23.09063892104225,0.1935895556741798
2026-03-01,23.2,0,21.636975462690476,19.563798146473022,23.675846200772,1.5630245373095235
2026-03-08,23.2,0,22.641239995205524,20.491884251586928,24.71217531576687,0.5587600047944754
2026-03-15,23.2,0,23.364308715586258,21.23035952452963,25.44054952778906,-0.1643087155862588
2026-03-22,23.2,0,23.352861245150862,21.373610599987803,25.36406030677068,-0.15286124515086286
2026-03-29,23.2,0,22.833690415964153,20.823266225833855,24.891883551112134,0.36630958403584657
2026-04-05,22.28,0,22.220753864802095,20.239803081812827,24.335275798493527,0.059246135197906113
2026-04-12,20.42,0,22.136697166375576,19.944182844045418,24.283193220155738,-1.7166971663755746
2026-04-19,20.42,1,22.16065150436195,19.97997460697346,24.260058368101678,-1.7406515043619493
