brand,region,week_start,residual,z_score,threshold,anomaly_type
adidas,global,2024-03-24,3.7461,3.05216822517704,3.0,spike
adidas,global,2024-07-14,4.0176,3.2733752599960693,3.0,spike
adidas,global,2025-02-23,-3.8442,-3.1320960709072305,3.0,dip
adidas,korea,2024-08-18,7.6044,3.302106543159799,3.0,spike
adidas,korea,2024-08-25,8.5144,3.697261578964783,3.0,spike
adidas,korea,2024-09-15,7.2525,3.149298788105103,3.0,spike
adidas,korea,2025-02-16,-7.3302,-3.1830389488546054,3.0,dip
new_balance,korea,2025-03-23,4.0653,3.0003296181642876,3.0,spike
new_balance,korea,2025-04-20,5.7486,4.242662249521369,3.0,spike
nike,korea,2024-01-28,-16.8097,-3.724715270546022,3.0,dip
puma,global,2024-04-14,1.5129,3.1469197705020524,3.0,spike
